2019-10-23 11:53:24 ,180.627,290.398
2019-10-23 11:56:43 ,180.627,290.398
2019-10-23 11:59:31 ,100.492,294.215
2019-10-23 13:40:09 ,161.995,246.381
2019-10-23 13:42:10 ,100.492,294.215
2019-10-23 13:43:36 ,140.231,219.409
2019-11-09 14:57:24 ,81.267,-115.473
2019-11-09 14:59:03 ,149.791,-130.151
2019-11-09 15:00:46 ,129.674,-42.264
2019-11-09 15:02:20 ,154.372,-133.157
2019-11-12 15:35:12 ,181.903,288.281
2019-11-12 15:36:34 ,101.373,288.719
2019-11-12 17:31:34 ,125.256,438.073
2019-11-12 17:33:02 ,48.028,438.130
2019-11-13 08:30:58 ,81.267,-115.473
2019-11-13 08:32:36 ,149.791,-130.151
2019-11-13 08:37:34 ,149.791,-130.151
2019-11-13 10:23:46 ,125.256,438.073
2019-11-13 10:25:57 ,48.028,438.130
2019-11-13 17:56:51 ,44.217,58.410
2019-11-13 17:58:56 ,177.608,88.218
2019-11-13 18:04:38 ,44.217,58.410
2019-11-13 18:05:36 ,177.608,88.218
2019-11-13 18:09:00 ,44.217,58.410
2019-11-13 18:10:01 ,177.608,88.218
2019-11-13 19:24:44 ,117.589,294.258
2019-11-13 19:29:56 ,92.945,217.723
2019-11-13 19:32:08 ,90.347,217.007
2019-11-13 19:34:21 ,90.347,217.007
2019-11-16 14:23:10 ,89.035,228.739
2019-11-16 14:26:17 ,89.035,228.739
2019-11-16 14:29:26 ,88.699,225.852
2019-11-16 14:30:56 ,88.699,225.852
2019-11-16 14:35:32 ,87.940,225.043
2019-11-16 14:37:13 ,89.244,224.478
2019-11-16 14:57:12 ,89.035,228.739
2019-11-16 15:10:00 ,87.940,225.043
2019-12-11 12:03:15 ,-83.116,74.497
2019-12-11 12:04:54 ,228.015,73.733
2019-12-12 19:00:47 ,-56.102,81.556
2019-12-12 19:02:18 ,-48.683,84.217
2020-03-08 16:04:05 ,55.740,68.387
2020-03-08 16:23:17 ,63.214,84.921
2020-03-09 10:08:35 ,61.959,83.920
2020-03-10 18:42:37 ,124.051,237.356
2020-03-10 18:42:37 ,128.791,236.059
2020-03-10 18:42:37 ,121.195,238.576
2020-03-10 18:42:37 ,131.537,234.360
2020-03-10 18:42:37 ,126.410,236.666
2020-03-10 18:42:37 ,118.383,239.894
2020-03-10 18:42:37 ,129.007,235.271
2020-03-10 18:42:37 ,123.697,237.649
2020-03-10 18:42:37 ,134.340,232.757
2020-03-10 18:42:37 ,126.292,236.287
2020-03-10 19:14:22 ,124.034,237.354
2020-03-10 19:14:22 ,128.807,236.095
2020-03-10 19:14:22 ,121.229,238.597
2020-03-10 19:14:22 ,131.530,234.372
2020-03-10 19:14:22 ,126.410,236.683
2020-03-10 19:14:22 ,118.469,239.937
2020-03-10 19:14:22 ,128.997,235.278
2020-03-10 19:14:22 ,123.725,237.675
2020-03-10 19:14:22 ,134.312,232.745
2020-03-10 19:14:22 ,126.306,236.304
2020-03-30 14:25:03 ,103.170,56.426
2020-03-30 14:32:48 ,118.791,62.699
2020-03-30 16:49:31 ,100.419,57.843
2020-03-30 17:04:18 ,106.353,60.047
2020-03-30 17:34:53 ,106.353,60.047
2020-04-01 15:38:17 ,109.976,61.943
2020-04-01 15:41:15 ,127.917,67.893
2020-04-08 14:27:25 ,105.029,53.174
2020-04-08 14:37:01 ,83.167,44.160
2020-05-08 01:47:39 ,136.509,66.248
2020-05-08 02:04:56 ,145.116,69.373
2020-05-16 15:12:37 ,169.151,202.985
2020-05-17 11:07:58 ,94.052,246.205
2020-05-17 16:20:42 ,169.153,202.957
2020-05-27 20:08:56 ,98.816,244.362
2022-11-27 20:40:44 ,98.816,244.362
2022-11-27 20:53:20 ,98.816,244.362
