DataTime,相机号,旋转中心X坐标,旋转中心Y坐标,CheckerBoardRMS,NportToNportRMS
09:57:29,0,,,,0.006
13:05:47,2,-9.49628820864062,-3.11645727152826,,0.006
14:32:13,2,1.11510231309775,12.9098951438998,,0.005
16:11:30,2,1.11236265272549,12.9610542542588,,0.004
16:13:36,2,1.11236265272549,12.9610542542588,,0.004
16:22:10,2,1.11236265272549,12.9610542542588,,0.004
16:40:07,2,1.12694275828668,12.8706120794018,,0.006
16:52:42,0,1.12694275828668,12.8706120794018,,0.006
16:56:19,2,1.12694275828668,12.8706120794018,,0.006
17:12:45,2,1.12694275828668,12.8706120794018,,0.006
17:21:18,2,1.12694275828668,12.8706120794018,,0.006
